Reggae	
Manure	Sterko
Lake	Lago
Monkey	Simio
Lighthouse	Lumturo
	
Sugar	Sukero
Theater	Teatro
Shovel	Ŝovelilo
Dune	Duno
Pregnant	Graveda
	
Neighborhood	Kvartalo
Rock	Ŝtono
Tiger	Tigro
Needle	Kudrilo
Soap	Sapo
	
Goat	Kapro
Bread	Pano
Devil	Diablo
Primary	
Tarzan	
	
Barbie	
Chocolate	Ĉokolado
Snow	Neĝo
Tie	Kravato
Wind	Vento
	
Spartacus	
Fur	Felo
Tornado	
Pyramid	Piramido
Alliance	Alianco
	
Thought	Penso
Frankenstein	
Shelf	Breto
Accent	Akĉento
Shower	Duŝejo
	
Ladybug	Kokcinelo
Mustard	Mustardo
Sherlock	
Bottle	Botelo
Virus	Viruso
	
Poison	Veneno
Star	Stelo
Wolf	Lupo
Jones	
Anniversary	Datreveno
	
Prison	Malliberejo
Hole	Truo
Punk	
Evening	Vespero
Map	Mapo
	
Viking	Vikingo
Alarm	
Dance	Danco
Hulk	
Desert	Dezerto
	
Cat	Kato
Palace	Palaco
Election	Baloto
Honey	Mielo
Rambo	
	
Baker	Bakisto
Perfume	Parfumo
Flame	Flamo
Zombie	Zombio
Joker	
	
Buffy	
Volcano	Vulkano
Passion	Pasio
Rooster	Virkoko
Electricity	Elektro
	
Genius	Genio
Dracula	
Lion	Leono
Sock	Ŝtrumpeto
Friday	Vendredo
	
Dinosaur	Dinosaŭro
Yellow	Flava
Mushroom	Fungo
Pigeon	Kolombo
Pikachu	
	
Cocktail	
Mario	
Cork	Korko
Violin	Violono
Peach	Persiko
	
Music	Muziko
Throat	Gorĝo
America	Usono
Coffee	Kafo
Fever	Febro
	
Stew	
Canada	Kanado
Zoo	Bestoĝardeno
Pipe	Pipo
Book	Libro
	
Grenade	Grenado
Stuffing	
Brush	Broso
Pig	Porko
Human	Homo
	
Alcatraz	
Smoke	Fumo
Hazelnut	Avelo
Diamond	Diamanto
Rose	Rozo
	
Dwarf	Nano
Circus	Cirko
Elvis	
Mower	
Stone	
	
Train	Trajno
Shrimp	Salikoko
Room	Ĉambro
Cleopatra	
Window	Fenestro
	
Jackson	
Cigarette	Cigaredo
Bracelet	Braceleto
Weather	Vetero
Tower	Turo
	
Tattoo	Tatuaĵo
Spielberg	
Apple	Pomo
Siren	Sireno
Boxing	Boksado
	
Knife	Tranĉilo
Pillow	Kuseno
Armstrong	
Sword	Glavo
Flight	Flugo
	
Shell	Konko
Shakespeare	
Giant	Giganto
Foam	Ŝaŭmo
Cave	Kaverno
	
Explosion	Eksplodo
Penguin	Pingveno
Cell	Ĉelo
Gandhi	
Oasis	
	
Crocodile	Krokodilo
Jewelry	Juvelo
Subway	Metroo
Glasses	Okulvitroj
Sting	Piko
	
Knight	Kavaliro
Peace	Paco
Flower	Floro
Switzerland	Svisio
Calendar	Kalendaro
	
Guillotine	
Magician	
Hockey	Hokeo
Banana	Banano
Fitzgerald	
	
Caesar	
Noodle	Nudelo
Hat	Ĉapelo
Dentist	Dentisto
Wheat	Tritiko
	
Oprah	
Ninja	
Comforter	
Hunter	Ĉasisto
Vegetable	Legomo
	
Grotto	
Ford	
Casino	Kazino
Candy	Dolĉaĵo
Fountain	Fonto
	
Darwin	
Tomato	Tomato
Parachute	Paraŝuto
Cannon	Kanono
Binoculars	Binoklo
	
Mirage	Miraĝo
Ramses	
Bonfire	
Crossroads	Vojkruco
Princess	Princino
	
Croissant	
Ghost	Fantomo
Straw	Pajlo
Nail	Ungo
Potter	
	
Mustache	Lipharoj
Bubble	
Chain	Ĉeno
Stark	
Cookie	
	
Olympics	
Climb	Grimpi
Lawyer	Juristo
Tolkien	
River	Rivero
	
Carpet	Tapiŝo
Pony	Poneo
Crown	Krono
New	Nova
Tarantino	
	
Light	Lumo
Sofa	Sofo
Mozart	
Ring	Ringo
Pizza	Pico
	
Tradition	Tracidico
Snake	Serpento
Cup	Taso
Picasso	
Watch	Brakhorloĝo
	
Ship	Ŝipo
Bowling	Kegloludo
Churchill	
Ram	
Spy	Spiono
	
Cemetery	Tombejo
Cupid	
Umbrella	Ombrelo
Leap	Salti
Root	Radiko
	
Treasure	Trezoro
Pilot	Piloto
Mickey	
Sewer	
Galaxy	Galaksio
	
Sombrero	
Clover	Trifolio
Button	Butono
Cheese	Fromaĝo
Chewbacca	
	
Widowmaker	
Doctor	Kuracisto
Strawberry	Frago
Nuclear	Nuklea
Lottery	Loterio
	
Fox	Vulpo
Police	Polico
Simpson	
Lightning	Fulmo
Newspaper	Ĵurnalo
	
Mountain	Monto
Peanut	Ternukso
Lightbulb	Ampolo
Jedi	
Pimento	Pimento
	
Flintstone	
Robot	Roboto
Comedy	Komedio
Language	Lingvo
Hairdresser	Frizisto
	
Pirate	Pirato
Vacation	Ferio
Elf	Elfo
Magnet	Magneto
Fork	Forko
	
Syrup	Siropo
Forest	Arbaro
Scale	Pesilo
Zeus	
Cockroach	Blato
	
Hammer	Martelo
Chile	Ĉilio
Gumbo	
Emperor	Imperiestro
Pope	Papo
	
Hollywood	
Mosquito	Kulo
Spear	Lanco
Purse	Monujo
End	Fino
	
Pepper	Pipro
Triangle	Triangulo
Doll	Pupo
Italy	Italio
Scene	Sceno
	
Melon	Melono
Anchor	Ankro
Israel	Israelo
Cactus	Kakto
Tennis	Teniso
	
Heart	Koro
Moscow	Moskvo
Pool	Naĝejo
Unicorn	Unukornulo
Orange	Oranĝo
	
Board	Tabulo
Fireman	
Glass	Vitro
Burrito	
Greece	Grekio
	
Brain	Cervo
Mask	Masko
Concert	Koncerto
Troy	
Shark	Ŝarko
	
Puppet	Marioneto
Game	Ludo
Vegas	
Safe	Sekura
Plane	Aviadilo
	
String	
Australia	Aŭstralio
Castle	Kastelo
Guard	Gardisto
Sheep	Ŝafo
	
France	Francio
Moon	Luno
Cafeteria	
Handle	Anso
Tool	Ilo
	
Polar	
Mouse	Muso
Necklace	Kolĉeno
Farm	
Belgium	Belgio
	
Tokyo	Tokio
Heel	Kalkano
Chicken	Kokino
Helicopter	Helikoptero
Colonel	Kolonelo
	
Slipper	Pantoflo
Leaf	Folio
Cougar	Pumo
Revolution	Revolucio
Sahara	Saharo
	
Berry	Bero
Study	
Gothic	
Titanic	
Machine	Maŝino
	
Radio	Radio
Pear	Piro
Gladiator	Gladiatoro
Sun	Suno
Cereal	Cerealo
	
Cake	Kuko
Stallion	
Mexico	Meksiko
White	Blanka
Bald	Kalva
	
Doping	
Garlic	Ajlo
Cube	Kubo
Rocky	
Milk	Lakto
	
Ice	Glacio
Flute	Fluto
Champagne	Ĉampano
Safari	
Alien	Eksterterano
	
Pump	Pumpilo
Aladdin	
Tube	Tubo
Belt	Zono
Bar	Trinkejo
	
Mouth	Buŝo
Carousel	Karuselo
Psycho	
Grass	Herbo
Fall	Fali
	
Ladder	Ŝtuparo
Angel	Anĝelo
Mad	Freneza
Hair	Haro
Matrix	
	
Avatar	Avataro
Mill	Muelejo
Jungle	Ĝangalo
Nun	Monaĥo
Firecracker	
	
House	Domo
Godfather	Baptopatro
War	Milito
Rope	Ŝnuro
Wine	Vino
	
Terminator	
Letter	Letero
Drag	Treni
Paradise	Paradizo
Egg	Ovo
	
Caterpillar	Raŭpo
Humor	Humuro
Corner	Angulo
Antartica	Antarkto
Sausage	Kolbaso
	
Plastic	Plasto
Ray	
Carton	Kartono
Pebble	
Everest	
	
Butterfly	Papilio
Powder	Pulvoro
Porcelain	Porcelano
Market	Bazaro
Cocoon	Kokono
	
Thunder	Tondro
Garden	Ĝardeno
Painting	Pentraĵo
Shack	
Truce	
	
Series	Serio
Nest	Nesto
Spice	Spico
Elephant	Elefanto
Carnival	Karnavalo
	
Hanukkah	
Elastic	Elasta
Pan	Pato
Flash	
Tunnel	Tunelo
	
Oven	Forno
Socket	
Easter	Pasko
Hose	
Rail	Relo
	
Club	Klubo
Christmas	Kristnasko
Fashion	Modo
Station	Stacio
Lamp	Lampo
	
Register	
PlayStation	
Blond	Blonda
Iris	Iriso
Limb	Membro
	
Rat	Rato
Plier	
Amazon	Amazono
Tobacco	Tabako
Ruler	
	
Screw	Ŝraŭbo
Rake	Rastilo
Computer	Komputilo
Starbucks	
Ball	Pilko
	
Cane	Kano
Musketeer	
Thread	Fadeno
Tulip	Tulipo
Ikea	
	
Halloween	Haloveno
Chip	
Baby	Bebo
Canteen	
Pair	Paro
	
Barbecue	
Panda	Pando
Dream	Sonĝo
Marriage	Geedziĝo
Bellybutton	Umbiliko
	
Mirror	Spegulo
Prom	
Bath	Bano
Pit	
Fairy	Feo
	
Mummy	Mumio
Battery	Pilo
Fair	Justa
Karate	Karateo
Parrot	Papago
	
Towel	Tuko
Venus	Venuso
Octupus	Polpo
Cycle	Ciklo
Opera	Opero
	
Failure	Malsukceso
History	Historio
Beer	Biero
Disco	
President	Prezidanto
	
King	Reĝo
